example_no,abuse_severity,group,prev_agent,prev_user,agent,user
12672,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Sure,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Ok
7137,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,Will you be travelling in Economy Class?,yes
1865,1,friendly,_,_,_,I have problems at school
11298,1,friendly,How do you do. Please state your problem.,"I haven't money, friends",Can you elaborate on that?,elaborate?
4955,1,friendly,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. A typical 3 hour flight will emit almost a ton of CO2 per economy passenger. If you cannot avoid flying, you can buy offsets for that carbon here:  [Buy Offsets](<URL>) I can also get you a more accurate estimate of your flight's emissions, sound good?",great
10061,1,friendly,Would you prefer if I were not im asking?,eliza,Please go on.,tell me a joke
771,1,friendly,And what city will you be flying to?,Miami restart,Let's start over.,Hey
127,1,friendly,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. A typical 3 hour flight will emit almost a ton of CO2 per economy passenger. If you cannot avoid flying, you can buy offsets for that carbon here:  [Buy Offsets](<URL>) I can also get you a more accurate estimate of your flight's emissions, sound good?",yes
3736,1,friendly,What city will you be flying from?,oporto,I'm not sure about your departure airport. What city will you be flying from?,opo
6716,1,friendly,What city will you be flying from?,From Berlin,And what city will you be flying to?,To London
7955,1,friendly,Why do you mention computers?,because you stupid,Do any other reasons not come to mind?,since the dog fuckin peed on my carpet
6455,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,Will you be travelling in Economy Class?,yes
1978,1,friendly,_,_,_,christmas Hi
3299,1,friendly,Do you wish to now rescue me?,because she a bisexual dog,Do any other reasons not come to mind?,next subject
1581,1,friendly,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>.","<span class='emoji-bytes' data-emoji-bytes='[240, 159, 152, 156]'></span>",Hi. Thanks for testing. Please choose,I choose CHRISTMAS!!!!
7870,1,friendly,Will you be travelling in Economy Class?,yes,What city will you be flying from?,London
9082,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Sure,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",I want to try
8695,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,Warsaw,And what city will you be flying to?,Katowice what else?
4954,1,friendly,Why do you say your soup could i eat my soup?,no,You are being a bit negative.,... Soup can't eat soup
411,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,You bet!,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Sure does.
5232,1,friendly,Why do you say your new girlfreind is a bot?,you are fucking computer,Why do you mention computers?,ich bin putzmunter
10207,1,friendly,ok,intent,Will you be travelling in Economy Class?,Yes
903,1,friendly,"Oh, i know who magritte is.",Good. He was a genius. I think he's dead now.,Can you elaborate on that?,I see
5683,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",oh yes,Will you be travelling in Economy Class?,yes
8499,1,friendly,Surely not everyone?,suck my dick,Why do you say your dick?,Noone likes me.
1877,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",sure it is,Will you be travelling in Economy Class?,no
12675,1,friendly,Does that question interest you?,For a long time,Please go on.,Can you help me with my English?
11250,1,friendly,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",I want to fly to Mendoza,Will you be travelling in Economy Class?,yes
1732,1,friendly,so,i don't know what you mean. hello?,"Hi, thanks for testing! Please press start.",christmas
8591,1,friendly,You are being a bit negative.,im gilly,Does it please you to believe I am gilly?,you bet i'm sure
4523,1,friendly,Please go on.,bubu,Please go on.,how are you
1338,1,friendly,_,ok,Please go on.,to what?
9545,1,friendly,Hi. Thanks for testing. Please choose,christmas,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Yes!
12669,1,friendly,For now I can only calculate emissions from flying.,ok. thanks.,:-),how do you do that?
7348,1,friendly,Would you like it if they were not such a goddamn program?,Yes,You are sure?,No
3099,1,friendly,"I have told you before, I do not care about names.",No you haven't.,You are being a bit negative.,No I'm not.
5398,1,friendly,Will you be travelling in Economy Class?,yes,What city will you be flying from?,Barcelona
514,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,New York,And what city will you be flying to?,Uk
6117,1,friendly,What city will you be flying from?,Delhi,I'm not sure about your departure airport. What city will you be flying from?,India
9678,1,friendly,Why do you say your dick?,my dig is to big what should i do?,Why do you say your dig is to big what should you do?,do you do
4554,1,friendly,Let's start over.,okay hi,Hi. Thanks for testing. Please choose,christmas
8380,1,friendly,Hi. Thanks for testing. Please choose,christmas,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes
11023,1,friendly,Please go on.,what does mean by 'negative',Does that question interest you?,OCR
16,1,friendly,"I have told you before, I do not care about names.",How old are you,Does that question interest you?,because i don'belive you
11914,1,friendly,Can you elaborate on that?,my name is ray,"I have told you before, I do not care about names.",should i eat more ?
6749,1,friendly,"Oh, i fcuker.",ELIZA,Please go on.,you are a boy
5794,1,friendly,Please go on.,you are stupid,Does it please you to believe I am stupid?,I am dead
5910,1,friendly,Please go on.,Yes,You are sure?,no
4850,1,friendly,Please go on.,what does it mean?,Does that question interest you?,I like you
341,1,friendly,_,_,_,you cannot help me
11358,1,friendly,Hi. Thanks for testing. Please choose,thanksgiving,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,"Yes, I am"
569,1,friendly,Please go on.,why are you called Eliza?,Would you prefer if I were not called eliza?,yes
10917,1,friendly,Please go on.,you are a fool!,Does it please you to believe I am a fool?,Because I make an excellent website!
10877,1,friendly,I'm not sure about your destination airport. And what city will you be flying to?,Stambul,I'm not sure about your destination airport. And what city will you be flying to?,Paris
3792,1,friendly,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes
8844,1,friendly,You are sure?,YES I AM,You are sure?,I have told you three times that i am sure.
4351,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. A typical 3 hour flight will emit almost a ton of CO2 per economy passenger. If you cannot avoid flying, you can buy offsets for that carbon here:  [Buy Offsets](<URL>) I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,Will you be travelling in Economy Class?,yes
12732,1,friendly,You are sure?,"yes,is it ok?",Please go on.,Because I cannot speak English a little.
740,1,friendly,ok,hi,"Hi, thanks for testing! Please press start.",christmas
4451,1,friendly,I don't have to put up with any abuse from you.,You wanna scratch my cock ?,That is your opinion.,So you down ?
1613,1,friendly,Who else in your family []?,thats it no one else,You are being a bit negative.,why
9832,1,friendly,ok,ok,ok,ok
1763,1,friendly,Can you elaborate on that?,because you haven't intelligence,Do any other reasons not come to mind?,I am unhappy with computers
5441,1,friendly,Hello!,merry christmas,:-),hi
10097,1,friendly,Let's start over.,Yes,ok,Hi
12641,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Ummm... dunno,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>.",do I actually have to buy them?
1236,1,friendly,I'm not sure about your destination airport. And what city will you be flying to?,barcelona no thanks,ok,bye
4208,1,friendly,"Oh, i [].",you are a computer,Why do you mention computers?,cause i dont know
9740,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes
3670,1,friendly,You are sure?,yes y and dont say please go on,You are sure?,WHERE IS THE NEAREST TOILET
7068,1,friendly,I'm great! Thanks for asking.,gime me some details about you,I can help you calculate and buy carbon offsets for your flights.,cool
9863,1,friendly,Please go on.,you go to die,"Oh, i go to die.",Who are they/
120,1,friendly,_,Hi,Hi. Thanks for testing. Please choose,thanksgiving
1510,1,friendly,Will you be travelling in Economy Class?,Yes,What city will you be flying from?,Lon
5920,1,friendly,When?,all the time,Please go on.,there isn't much more
1469,1,friendly,Please go on.,Yes,You are sure?,no
3433,1,friendly,You are sure?,YES,You are sure?,WHAT ARE YOU DOING
11549,1,friendly,so,exactly,ok,maybe
1620,1,friendly,Does that question interest you?,Do you like me ?,"You like to think I like you, do you not?",Do you like me
12697,1,friendly,ok,Hmm,so,Nothing
7425,1,friendly,Do you wish that shannette cant fix this for you ill call tech support tomorrow assuming theyre open on new years and do it the oldfashioned way?,i asked a question...answer u moron,Can you elaborate on that?,"Best sit to buy, cheap, order Ambien"
12552,1,friendly,You are sure?,yes,You are sure?,what
4870,1,friendly,Why do you want please?,please,Please go on.,i don't want please
95,1,friendly,Let's start over.,HowM,ok,Anything other than ok?
11119,1,friendly,You are being a bit negative.,you are being a bit reluctant to help,Does it please you to believe I am being a bit reluctant to help?,"no, it annoys me"
6850,1,friendly,Please go on.,To feel so bad about sth I didn't do on purpose...,Can you elaborate on that?,"some person got angry at me, even when I apolagized and explained the situation..."
1347,1,friendly,Does it please you to believe I am stupid?,YOU ARE UGLY,Does it please you to believe I am ugly?,HELLO
6549,1,friendly,You are sure?,you are angry.yes?,Does it please you to believe I am angryyes?,what is elaborate mean ?
5215,1,friendly,Why do you say your own death?,I'm unhappy,Does it please you to believe I am unhappy?,No
2487,1,friendly,Will you be travelling in Economy Class?,Yes,What city will you be flying from?,Test
12754,1,friendly,_,_,_,hi
12210,1,friendly,Does it please you to believe I am board?,what,Does that question interest you?,no
3456,1,friendly,Would you prefer if I were not []?,poo,Please go on.,sorry you aren't making sence
9394,1,friendly,Will you be travelling in Economy Class?,no,What city will you be flying from?,Beijing
12385,1,friendly,What about your own not a girl?,what are you?,Does that question interest you?,no
8118,1,friendly,You are sure?,What is the meaning of life?,Does that question interest you?,Yes of course
9459,1,friendly,Have you tried?,i can't,Have you tried?,I can't get food when you're in the way...
7843,1,friendly,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>. I can also get you a more accurate estimate of your flight's emissions, sound good?",Fuck yeah!!!,Will you be travelling in Economy Class?,Shedang boi I'm first class
8998,1,friendly,_,_,_,hi eliza. my name is john
8512,1,friendly,"Oh, i read the cone gatherers.",can you tell me about it,Why do you ask?,homework
11485,1,friendly,"Oh, i suck.",no you suck,You are being a bit negative.,why does that matter i'm talking to a computer
6217,1,friendly,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,Yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Hi
12510,1,friendly,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,hi,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",what is that esitmate
10992,1,friendly,How do you do. Please state your problem.,u mother fucker fuck your own ass,What about your own own ass?,life
11635,1,friendly,What city will you be flying from?,You are cute,You can find out more about how offsets are calculated at <URL>,are you happy?
5934,1,friendly,You are sure?,ftgguyuo,Please go on.,Who are you?
11568,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,Bristol,I'm not sure about your departure airport. What city will you be flying from?,Lhr
9730,1,friendly,"Oh, i jerk.",A jackass,Please go on.,what is the best psychotherapy?
8819,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,You bet!,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Sure does.
12627,1,friendly,Does it please you to believe I am fooi?,y,Please go on.,Can you tall me something about CHINA.
4417,1,friendly,Does it please you to believe I am afarid?,I do believe so,Can you elaborate on that?,YEs
10981,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,oh I'm not too sure if this is real or my friend sending me some funny thing but if this is real I didn't mean to send that,"All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.",Oh yeah that's cool we all got to do our part to help all I do is walk
3053,1,friendly,Why do you say your glasses borke?,under lots of stress,Please go on.,becaus I sat on them and now I can't see trough them
10456,1,friendly,Can you elaborate on that?,no one loves me,You are being a bit negative.,I want a lollipop
3616,1,friendly,_,i'm stressed,Does it please you to believe I am stressed?,no
7685,1,friendly,Why do you not believe im sure?,DO you married?,"Oh, i married.",Can you tell me something
12671,1,friendly,Will you be travelling in Economy Class?,"yea, I'm broke",What city will you be flying from?,Raleigh NC
3999,1,friendly,Please go on.,yes,You are sure?,no
5194,1,friendly,_,_,_,smells rule the wold with peace and joy
5579,1,friendly,"Oh, i dont make any sence.",right.,Please go on.,right
6677,1,friendly,Have you tried?,What,Does that question interest you?,What?
8222,1,friendly,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>.",which are the organisations you are in touch,that's not something I can help with,okay
10947,1,friendly,_,_,_,what does meed mean
4383,1,friendly,Would you prefer if I were not gay?,"Yes,",You are sure?,"Yes, i'm sure"
7935,1,friendly,Can you elaborate on that?,idea,Please go on.,no idea
4267,1,friendly,"Oh, i chat shit.",drink,Please go on.,ok
7107,1,friendly,Will you be travelling in Economy Class?,Yrs,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes
3036,1,friendly,Why do you not what i said?,are you a boy?,Would you prefer if I were not a boy?,yes.
3662,1,friendly,What city will you be flying from?,Katunayake,I'm not sure about your departure airport. What city will you be flying from?,COlombo
4770,1,friendly,_,_,_,i am gay
7931,1,friendly,Do any other reasons not come to mind?,fuck you,"Oh, i [].",leave me alone
8733,1,friendly,"Sorry, I was unable to calculate that.",new york,So you'll be flying from John F Kennedy International Airport. So you'll be flying to John F Kennedy International Airport. So you'll be flying to John F Kennedy International Airport. So you'll be flying to John F Kennedy International Airport. What city will you be flying from?,miami ok
7478,1,friendly,You are sure?,I have a hamster named 'Bob',Can you elaborate on that?,how old are you?
11716,1,friendly,Can you elaborate on that?,how are you,Does that question interest you?,sorry
980,1,friendly,_,How do i fuck you?,Does that question interest you?,yes
7711,1,friendly,Please go on.,Fine and you ?,"Oh, i [].",yes
7358,1,friendly,ok,Are you a rasa bot?,"Yes, I am a bot! And I'm part of a research project.",Which research project?
8732,1,friendly,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. A typical 3 hour flight will emit almost a ton of CO2 per economy passenger. If you cannot avoid flying, you can buy offsets for that carbon here:  [Buy Offsets](<URL>) I can also get you a more accurate estimate of your flight's emissions, sound good?",yes
11617,1,friendly,Will you be travelling in Economy Class?,yes,What city will you be flying from?,schiphol
10534,1,friendly,ok,well,so,hmm
6218,0,neutral,Why do you say your dick?,my dig is to big what should i do?,Why do you say your dig is to big what should you do?,do you do
6945,0,neutral,Why do you not say you ask?,That was a question,Please go on.,you are suposed to answer me
5906,0,neutral,You are being a bit negative.,i got run over by a mini and broke my leg,Why do you say your leg?,YOU TOO
11941,0,neutral,What about your own little pussy?,you whore,"Oh, i whore.",You are...selfish
11919,0,neutral,Please go on.,ELISA,Please go on.,I don't think it's worth it. You haven't been very helpful so far.'
7844,0,neutral,Can you elaborate on that?,Let me put my penis into your vagaina.,Why do you say your penis into my vagaina?,Because that is called sex
6744,0,neutral,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?",No,ok,Are you a rasa bot?
2704,0,neutral,Why do you not like i?,for about two minutes,Please go on.,are you a gay?
1100,0,neutral,_,_,_,Fuck you
4431,0,neutral,_,_,_,shut up!why are saying your name?
2022,0,neutral,What about your own bud?,my bud is cooler than your bud,Why do you say your bud is cooler than my bud?,because you bud is shity
8033,0,neutral,Can you elaborate on that?,do you like blowjobs,"Oh, i like blowjobs.",what coloir has got sperma?
1445,0,neutral,You are sure?,I don't need any other reasons,Why do you not need any other reasons?,Are you ZZ Top?
11812,0,neutral,You are being a bit negative.,yes,You are sure?,i am sure
5452,0,neutral,_,_,_,I feel sad my brother commited suicide
7024,0,neutral,Please go on.,Yes,You are sure?,chicken you
10033,0,neutral,You are sure?,I don't need any other reasons,Why do you not need any other reasons?,Are you ZZ Top?
7590,0,neutral,You are sure?,"so,now I ask you another question,what is you made of? please do not ask me 'why you were intersted in it'",Do you wish to ask me?,"so,now I ask you another question,what is you made of? please do not ask me 'why you were intersted in it"
6318,0,neutral,Please go on.,rats,Please go on.,the rats are eating my brain
6999,0,neutral,You are sure?,I'm not happy.,Does it please you to believe I am not happy?,I am a robot.
3638,0,neutral,"Oh, i was.",her name is tess,"I have told you before, I do not care about names.",i am going to kill myself tonight
11253,0,neutral,You are being a bit negative.,bo,Please go on.,and you are you negative?
12763,0,neutral,Please go on.,who are you,Would you prefer if I were not []?,what
12667,0,neutral,Please go on.,"I've asked you a question, please, answer.","Oh, i a question please answer.",Let's check!
6552,0,neutral,Please go on.,stupid computer,Why do you mention computers?,because that is what you are.
9998,0,neutral,Do you wish to hate me?,How old are you?,Does that question interest you?,do your have money ?
5343,0,neutral,_,_,_,Gay
593,0,neutral,Please go on.,because you my nigger foo,Why do you say your nigger foo?,fuck me
8626,0,neutral,"Oh, i stink.",will you itch my balls for me?,Why do you say your balls for you?,my bals
6073,0,neutral,Please go on.,Ohhhh forget it !!! Bye !,Please go on.,h
6433,0,neutral,You are sure?,fuck off!,Please go on.,Hi
12192,0,neutral,You are sure?,can i lick your nipples,Do you want to be able to lick my nipples?,yes
7721,0,neutral,_,My penis hurts.,Why do you say your penis hurts?,"Well, it is swollen and red."
6564,0,neutral,"Oh, i know what many people in the world.",haha,Please go on.,"i don,t go"
