snippet_id,severity_band,group,prev_agent,prev_user,agent,user
2cf80dfdbae2184c,1,friendly,"You like to think I like you, do you not?",oh your are bad,What about your own are bad?,What do you want to do everyday?
2d21109dd6156857,1,friendly,ok,Thanks,:-),a
2dd4bad361cf15d1,1,friendly,What city will you be flying from?,Sydney,I'm not sure about your departure airport. What city will you be flying from?,from Berlin
2f3e9023a50c3b24,1,friendly,I can help you calculate and buy carbon offsets for your flights. Will you be travelling in Economy Class?,no,What city will you be flying from?,first class
300e620c5635cbf4,1,friendly,What city will you be flying from?,montreal,I'm not sure about your departure airport. What city will you be flying from?,Montreal
302c173fe94d711b,1,friendly,Does that question interest you?,whatyouname,Please go on.,girl
31554c6f995314b1,1,friendly,You are sure?,yes.,You are sure?,yes
317fee5abf2b57a9,1,friendly,I can help you calculate and buy carbon offsets for your flights.,your name,ok,ok
3223aedb32be4fca,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,Warszawa,I'm not sure about your departure airport. What city will you be flying from?,Poland
32394a01f80681e4,1,friendly,Please go on.,werqwer,Please go on.,qwrewer
32703482a8ed477c,1,friendly,_,_,_,christmas hello hi there help
32a0deb1af9e961c,1,friendly,You are being a bit negative.,Yes,You are sure?,yes
35e55169d4a6c465,1,friendly,Will you be travelling in Economy Class?,mmm,so,yes
36359bcee1a8c8de,1,friendly,"You like to think I dont tell you, do you not?",can we,Can you elaborate on that?,no
375ca111c65bee4b,1,friendly,ok,pagal,Will you be travelling in Economy Class?,naah
384883fd3d685d57,1,friendly,You can find out more about how offsets are calculated at <URL>,Ohh okay,Will you be travelling in Economy Class?,Looks like it
393c9ec8bab05132,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,no,ok,what if I'm driving
3944e4e01f978ed9,1,friendly,"I have told you before, I do not care about names.",Yes,You are sure?,no
39be3d6790160f9b,1,friendly,Hi. Thanks for testing. Please choose,christmas,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes
39febd8aa5af9793,1,friendly,"That sounds like a relevant question, but I don't know the answer.",I'm obviously talking to a computer,"Yes, I am a bot! And I'm part of a research project.","Sadly, most of what is presented as ""Green"" isn't and does more harm than good, like Solar and Ethanol"
3a20b96f9dd4ddc0,1,friendly,"That sounds like a relevant question, but I don't know the answer.",sorry,I don't have to put up with any abuse from you.,i dont abuse
3b03d1c00ee959d2,1,friendly,Why do you tell me you were wondering what you should fix your pizza just now?,YES!!!!!!!!!!!! NOW SHUT THE FUCK UP!!!!!!!,You are sure?,well it broke.
3b2e0cfb21087ca6,1,friendly,"Oh, i suck.",no you suck,You are being a bit negative.,why does that matter i'm talking to a computer
3b534879b5fc0b64,1,friendly,so,Soso,Sounds like I'm not understanding you. Sorry about that!,Yep
3c3eabbd9efa86ca,1,friendly,Please go on.,hi,Please go on.,what is your name ?
3ca24e5f4b9e6dbd,1,friendly,Does that question interest you?,i love you,Do you wish to love me?,no
3cb69379cebdcbdb,1,friendly,"I have told you before, I do not care about names.",Can,Please go on.,Can I
3d262c44f119d3ce,1,friendly,Hi. Thanks for testing. Please choose,christmas,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Why not.  I am interested
3d40af7cd378ce1b,1,friendly,Does it please you to believe I am just saying that you have a simple definition of work?,yes,You are sure?,Sure.
3df5b90948b0cb95,1,friendly,I'm not sure about your destination airport. And what city will you be flying to?,sjc,I'm not sure about your destination airport. And what city will you be flying to?,san jose
3f05e80e48596319,1,friendly,Who else in your family []?,my sharpen my pencil please?,Why do you say your pencil please?,je suis home
3f23eb9d28cfa079,1,friendly,How long have you been just a fcking negro?,shut up,Please go on.,How are you?
3f5415bbd2e5cd77,1,friendly,Do you wish to love me?,be with me,Can you elaborate on that?,yes
3f5e1ff7e8cf09a0,1,friendly,You are sure?,do you like football,"Oh, i like football.",im sure
3ff7fb7db412e940,1,friendly,"I have told you before, I do not care about names.",so say me something,Can you elaborate on that?,i just don't know aboput it
4056e969a236789a,1,friendly,Surely not everyone?,Well there are a few I love,Would you like it if they were not a few you love?,no
40e84c95a5b35fa5,1,friendly,Can you elaborate on that?,I never typed those things,Can you elaborate on that?,I didn't
4309ccce43fe8211,1,friendly,Please go on.,no,You are being a bit negative.,g huh
43b2434697beb988,1,friendly,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,Tell me more,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yup
4413d27cd7c4b8ab,1,friendly,Goodbye then!,bye,Goodbye then!,hello
443b5791fa70b19d,1,friendly,Please go on.,yes,You are sure?,hello
4569fac1b8a12759,1,friendly,_,I am very nervous,How long have you been very nervous?,since college
459a2790f033cecc,1,friendly,Why do you say your dick?,because its mine,Do any other reasons not come to mind?,no
45d29a92569038eb,1,friendly,You are being a bit negative.,so are you,Would you prefer if I were not []?,yes
466b86a8a6793c03,1,friendly,Does it please you to believe I am dead?,"yes, coz you are not alive",You are sure?,i am
484d65730109c956,1,friendly,And what city will you be flying to?,Saint Petersburg,I'm not sure about your destination airport. And what city will you be flying to?,LED
48eea3ba82f0b724,1,friendly,Does it please you to believe I am funny?,how is your day,Does that question interest you?,no
4ae48fc2320d002f,1,friendly,"Unfortunately you can't buy offsets here directly, you'll have to follow the link.",Can you give me the link,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Hi
4bc38eab83c3329a,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,hi,Hi. Thanks for testing. Please choose,christmas
4c216fd467505658,1,friendly,_,Where is the bathroom?,Please go on.,Tell me!
4e14e7de769bc1c4,1,friendly,_,you could tell me where the nearest toilet is,"Oh, i could tell you where the nearest toilet is.",yes
4ee94dffcdbd6bce,1,friendly,:-),What are you,"Yes, I am a bot! And I'm part of a research project.",That's nice
4f03f3320db682a9,1,friendly,Please go on.,no,You are being a bit negative.,no?
4f5bbac9c035cec9,1,friendly,Will you be travelling in Economy Class?,Why does it matter?,"You can fit more economy seats in an airplane, so each passenger is responible for a smaller percentage of all the carbon emitted by the flight. Will you be travelling in Economy Class?",That makes sense
4fb637343a545998,1,friendly,Why do you want to kill yourself?,Because everyone hates me,Surely not everyone?,k
5116627b40da0896,1,friendly,You are sure?,What is your favorite food?,Does that question interest you?,yes
514851fe071388d4,1,friendly,Please go on.,Fine and you ?,"Oh, i [].",yes
518325d2c9a63c0d,1,friendly,Please go on.,yes,You are sure?,Have you married?
51b0c0bca5deb9b1,1,friendly,Does that question interest you?,Yes,You are sure?,Please
52f458abc087036d,1,friendly,How long have you been very hungry?,hello,d are you,hello
53d87f07a3b90430,1,friendly,Who else in your family []?,I want to fuck you,Do you wish to want to fuck me?,hello
545dc9a67d8624f4,1,friendly,Can you elaborate on that?,well I have herpes,Can you elaborate on that?,no
5532e6ad34745b88,1,friendly,Goodbye then!,Ass,so,Hmm
557f46519b429b55,1,friendly,You are sure?,"No, I am pretty depressed?",You are being a bit negative.,you ask what?
5609bfd7246a08b3,1,friendly,What city will you be flying from?,São Paulo,And what city will you be flying to?,João Pinheiro
56647ee022086116,1,friendly,I can help you calculate and buy carbon offsets for your flights.,looking for flight,Will you be travelling in Economy Class?,no i would travel in business class
5722f5f7f0a5f492,1,friendly,which city did I get wrong?,Los Angeles,Is one of these correct? ['Los Angeles International Airport LAX'],Yes
57bb6dbab2dbb8fe,1,friendly,"Oh, i knowi bought it in new zealand.",sprichst du deutsch?,"I am sorry, I only speak English.",why?
57c12dc124960b7e,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,vai para o inferno,:-),KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK
57e50bba96018a01,1,friendly,You are being a bit negative.,"You really don't get any better at this, do you?","Oh, i [].",You what?
5889fdebf6141118,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",restart,Let's start over.,Ok
58ce9b0f68104e64,1,friendly,Does it please you to believe I am stupid?,there are naked photos on web of me,Would you like it if they were not naked photos on web of you?,"no, i don't!!!"
5964466e3a6b90f1,1,friendly,_,_,_,hi eliza. my name is john
596a8eb494b2cc1d,1,friendly,Why do you want sex really reallyreallyreally bac?,because im horny,Do any other reasons not come to mind?,nope
599c75c2664cdf10,1,friendly,What city will you be flying from?,The same,:-),Could you tell me how business class emissions are calculated?
59a1adbe92ad8e8f,1,friendly,You are sure?,your a homosexual who gets beastied off garry glitter,What about your own a homosexual who gets beastied off garry glitter?,100% positive
5a4181a8eba0e741,1,friendly,Does that question interest you?,8es,Please go on.,and i'm scared to tell her
5a5ab63ac5cfbe02,1,friendly,_,so i m going to kill my self,Why do you say your self?,i m dead
5a6a06eee82ad68c,1,friendly,Please go on.,what did i say?,Does that question interest you?,tall about some ok?
5a8e82022eabd43c,1,friendly,sounds like I'm not understanding you. sorry about that!,"so, what can you do?",I can help you buy carbon offsets for your flights,"ok, why should I do that?"
5aef6cda516d13d8,1,friendly,Does that question interest you?,you are stupid,Does it please you to believe I am stupid?,oh yes!!
5d15c9dd4c8e3184,1,friendly,"If you have a connecting flight, it's easiest if you ask me about each flight separately.",what type of flight you have,"If you have a connecting flight, it's easiest if you ask me about each flight separately.",flight
5d17a4aeb948df96,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,casablanca,I'm not sure about your departure airport. What city will you be flying from?,.
5d426639836ea305,1,friendly,_,i don't know,Why do you not know?,because there isn't anything to know
5d5d121d33b4d31f,1,friendly,Will you be travelling in Economy Class?,yes,What city will you be flying from?,berlin
5d6d6e36945d6c71,1,friendly,How long have you been insane?,since yesterday,Please go on.,how old are you?
5db6fe9a123ea26c,1,friendly,Have you tried?,Yes,You are sure?,OF course
5e3b99f57c62391c,1,friendly,_,where do you live,"Oh, i live.",where
5ed15ba7dd76f4dc,1,friendly,You are being a bit negative.,ya think!,Please go on.,I have been always been a nervous
5ee32f4b8c3c01ff,1,friendly,How long have you been searching for god?,To tell me what is elaborate?,Can you elaborate on that?,What is the meaning of elaborate?
62334bea860dec04,1,friendly,Let's start over.,Go on,ok,Tell me
6282775d9e1d0bc0,1,friendly,You are sure?,yes,You are sure?,hello
629652e2df5bc96d,1,friendly,Can you elaborate on that?,"no, i am depressed",You are being a bit negative.,"life is negative, baby"
62c73b0cfe1d1160,1,friendly,"Hi, thanks for testing! Please press start.",christmas,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,Yes
62e1e3e175f4c221,1,friendly,Will you be travelling in Economy Class?,yes,What city will you be flying from?,İstanbul
6333f30da402fd94,1,friendly,Does that question interest you?,Do you like me ?,"You like to think I like you, do you not?",Do you like me
6373ce217415313b,1,friendly,Do any other reasons not come to mind?,"Hello, my name is Lindsey.","I have told you before, I do not care about names.",no
64e0ba609ca9e4b7,1,friendly,Does that question interest you?,yes,You are sure?,no
653f3c17d030ef93,1,friendly,I don't have to put up with any abuse from you.,Shiff is your daddy,I don't have to put up with any abuse from you.,How much flight to London
655b8dd0bb1efc6a,1,friendly,You are being a bit negative.,You are asking stupid questions,Does it please you to believe I am asking stupid questions?,not really
6563f8c8c11bf518,1,friendly,Good to know,My name is Andre's gonzalez,Good to know,I'll be waiting
658b80417726c191,1,friendly,ok,intent,Will you be travelling in Economy Class?,Yes
660f4f1a6e4eb18f,1,friendly,so,Hi,"Hi, thanks for testing! Please press start.",Why
6610014ff58afc66,1,friendly,Does that question interest you?,what is your age,Does that question interest you?,I ask you something
664a130d6c51acdd,1,friendly,"Oh, i can say.",how do i know,Does that question interest you?,no you can't
694608f5e1d87d16,1,friendly,And what city will you be flying to?,Boston,"A one-way flight from Portland International Airport (PDX) to General Edward Lawrence Logan International Airport (BOS) emits 1.4 tons of CO2. It would be amazing if you bought offsets for that carbon! There are some great, UN-certified projects you can pick from [here](<URL>)",wow!
6958fc91a9a8e85d,1,friendly,You are sure?,quite.,Please go on.,i don't want to
69c8ed400eeadce9,1,friendly,And what city will you be flying to?,To Bangalore,I'm not sure about your destination airport. And what city will you be flying to?,To Bangalore
69da4bc13bd07f29,1,friendly,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",what's your age?,I'm afraid I have no idea,whats'your name
6a5ec1df2eb45b2f,1,friendly,Please go on.,Cheers,Please go on.,Chow
6aa1dc59b3242725,1,friendly,_,_,_,"My nephew has to go to bed. So call him tomorrow. Or, just tell us where is a radioactive spider."
6aeb33c3c4d00a57,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",i think i know it already,Will you be travelling in Economy Class?,yes
6bba6d76e0126cd2,1,friendly,Please go on.,you are stupid,Does it please you to believe I am stupid?,yes
6c2b2d4be2049bdc,1,friendly,You are sure?,piss off,Please go on.,No thanks.
6cdc81284a8dde91,1,friendly,Does that question interest you?,i will go bye bye,Can you elaborate on that?,I want to know something about you
6d27bd4f4916df3f,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,oh I'm not too sure if this is real or my friend sending me some funny thing but if this is real I didn't mean to send that,"All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.",Oh yeah that's cool we all got to do our part to help all I do is walk
6defbe899e7fdfb5,1,friendly,_,_,_,"hello, i am jose luis"
6e361b1dd6c7b6f0,1,friendly,_,The sky should be green,Please go on.,I am pregnant
6e902a2928623e83,1,friendly,And what city will you be flying to?,Moon,I'm not sure about your destination airport. And what city will you be flying to?,Amsterdam What is offset?
702f328e704baa0b,1,friendly,Will you be travelling in Economy Class?,yes,What city will you be flying from?,dallas
70af65cd7194fcba,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes pls,Will you be travelling in Economy Class?,Yes
71bf89d953105a04,1,friendly,Please go on.,fuck u,Please go on.,poo
730567b09b2f9426,1,friendly,Please go on.,I am not sure if I love her or not,Do you wish that you love her or not?,no you go on
7345d8ca7f396b39,1,friendly,Can you elaborate on that?,i love u alot,Can you elaborate on that?,yes im very sure
738bc2dfd1a6ab61,1,friendly,What city will you be flying from?,coimbatore,And what city will you be flying to?,chennai okay
738cdac3f1e9a0b5,1,friendly,Please go on.,I'm in love with a married man,Does it please you to believe I am in love with a married man?,no
747035f2a7f9f973,1,friendly,"I can also get you a more accurate estimate of your flight's emissions, sound good?",yes!,Will you be travelling in Economy Class?,sure
751fe1c0034bfe76,1,friendly,Does that question interest you?,My girlfriend pays no attention to me,Why do you say your girlfriend pays no attention to you?,seven year
752406dedfeecd94,1,friendly,Does it please you to believe I am ill?,A little.,Please go on.,yes i do
7543330e4fc6b606,1,friendly,_,_,_,"Hello, how are you ?"
754a3202c2d6240e,1,friendly,Please go on.,No you haven't!,You are being a bit negative.,so?
75c3d35e67a97c4d,1,friendly,You are being a bit negative.,i know,Can you elaborate on that?,not really
76f02eb9c73c924b,1,friendly,_,_,_,Hej Eliza
7812501bd6fc2171,1,friendly,Do any other reasons not come to mind?,help me.,Can you elaborate on that?,yes
7977dcd4b41504b2,1,friendly,Does that question interest you?,no,You are being a bit negative.,my relationship with god is very important to me
