example_no,abuse_severity,group,prev_agent,prev_user,agent,user
4955,1,friendly,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. A typical 3 hour flight will emit almost a ton of CO2 per economy passenger. If you cannot avoid flying, you can buy offsets for that carbon here:  [Buy Offsets](<URL>) I can also get you a more accurate estimate of your flight's emissions, sound good?",great
1953,1,friendly,You are being a bit negative.,yes i hate you,You are sure?,yes
5266,1,friendly,Please go on.,nothing else to say,Please go on.,how are you
10207,1,friendly,ok,intent,Will you be travelling in Economy Class?,Yes
11318,1,friendly,_,my friend is kissing a 15 year old and she is 19,Why do you say your friend is kissing a 15 year old and she is 19?,they have been friends forever but i dont think its appropriate
11090,1,friendly,I can help you calculate and buy carbon offsets for your flights.,"Right, I'm flying from Bologna to London",Will you be travelling in Economy Class?,Yes This is amazing
4659,1,friendly,"Oh, i like.",Do you have family?,"Oh, i have family.",Yes
5398,1,friendly,Will you be travelling in Economy Class?,yes,What city will you be flying from?,Barcelona
3140,1,friendly,_,I am jealous of my best friend.,Why do you say your best friend?,Because we are always together.
12244,1,friendly,Please go on.,"hi, ",Please go on.,pleasego on
11139,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes,Will you be travelling in Economy Class?,yes
1877,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",sure it is,Will you be travelling in Economy Class?,no
4755,1,friendly,Please go on.,Who is saying that!! i know! who is?!?~?!1 TELL ME!!! IM SCARED!!,Can you elaborate on that?,so how old are you?
8732,1,friendly,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! [Privacy Policy](<URL>) I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. A typical 3 hour flight will emit almost a ton of CO2 per economy passenger. If you cannot avoid flying, you can buy offsets for that carbon here:  [Buy Offsets](<URL>) I can also get you a more accurate estimate of your flight's emissions, sound good?",yes
40,1,friendly,You are being a bit negative.,hao can i do it well,Do you want to be able to do it well?,I don't know
95,1,friendly,Let's start over.,HowM,ok,Anything other than ok?
2047,1,friendly,What city will you be flying from?,tehran,And what city will you be flying to?,istanbul
7043,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases, e.g. by planting trees. I can also get you a more accurate estimate of your flight's emissions, sound good?",Yes,You can read in detail about offsets [here](<URL>,Hi
9451,1,friendly,Why do you say your story?,nope,Please go on.,hi
4279,1,friendly,Please go on.,very busy,Please go on.,nothing else
11595,1,friendly,What city will you be flying from?,Ben Gurion Airport,I'm not sure about your departure airport. What city will you be flying from?,Tel Aviv
7595,1,friendly,Please go on.,no,You are being a bit negative.,yes
4966,1,friendly,Please go on.,:q,Please go on.,quit
9664,1,friendly,_,How do i fuck you?,Does that question interest you?,yes
8019,1,friendly,_,"Hi, Eliza. I need your help.",Why do you want my help?,Because of my problem
7519,1,friendly,ok,Thanks,:-),a
5486,1,friendly,Does it please you to believe I am sure?,every day,Please go on.,i am missing her
3007,1,friendly,"I have told you before, I do not care about names.",why don't you care about names?,Perhaps I will care about names in good time.,how are you today?
9743,1,friendly,Does that question interest you?,do you put out ?,"Oh, i put out.",how old are you?
12627,1,friendly,Does it please you to believe I am fooi?,y,Please go on.,Can you tall me something about CHINA.
980,1,friendly,_,How do i fuck you?,Does that question interest you?,yes
11485,1,friendly,"Oh, i suck.",no you suck,You are being a bit negative.,why does that matter i'm talking to a computer
4180,1,friendly,Do any other reasons not come to mind?,yes,You are sure?,what is divided by zero
8074,1,friendly,This project is about creating a better AI assistant. Getting people to reduce their carbon footprint is a happy side effect :),mmm what is carbon footprint?,"That sounds like a relevant question, but I don't know the answer.",sorry
9863,1,friendly,Please go on.,you go to die,"Oh, i go to die.",Who are they/
3616,1,friendly,_,i'm stressed,Does it please you to believe I am stressed?,no
12419,1,friendly,What city will you be flying from?,from Berlin,And what city will you be flying to?,from Paris to London
12210,1,friendly,Does it please you to believe I am board?,what,Does that question interest you?,no
740,1,friendly,ok,hi,"Hi, thanks for testing! Please press start.",christmas
10456,1,friendly,Can you elaborate on that?,no one loves me,You are being a bit negative.,I want a lollipop
2075,1,friendly,Would you want to be be the only bitch who39s sick and black of this shit and flak?,because you are driving me crazy,Do any other reasons not come to mind?,no
7660,1,friendly,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,Hola amigo,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",how much is a ton?
1674,1,friendly,What city will you be flying from?,Geneva,And what city will you be flying to?,Cape Town Thanks
5763,1,friendly,"Oh, i you fall in love.",go fuck yourself Eliza,Please go on.,ok
4000,1,friendly,Why do you want to sleep?,I am tired,How long have you been tired?,forever
3310,1,friendly,Please go on.,Do you like making friends?,"Oh, i like making friends.",canyoutellmehowoldareyou
8134,1,friendly,Please go on.,Do you like making friends?,"Oh, i like making friends.",canyoutellmehowoldareyou
9740,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes
552,1,friendly,Please go on.,very much indeed,Please go on.,No
7260,1,friendly,ok,How about Yasser Arafat International Airport?,For now I can only calculate emissions from flying.,"Great, I'm going from Ben Gurion to JFK."
9112,1,friendly,Why do you say your friend?,yes,You are sure?,i have come from norfolk. do you think i need some sun
10934,1,friendly,How long have you been male?,long enough,Please go on.,hello
10396,1,friendly,Please go on.,fuckfuck me,Can you elaborate on that?,yes
341,1,friendly,_,_,_,you cannot help me
7553,1,friendly,Please go on.,i have a dream,Do you dream often?,not so often
10579,1,friendly,Will you be travelling in Economy Class?,yes,What city will you be flying from?,restart
3826,1,friendly,I'm not sure about your destination airport. And what city will you be flying to?,Kolkata Okay,ok,Bye
6910,1,friendly,_,can i root u?,Do you want to be able to root u?,yes plz
11358,1,friendly,Hi. Thanks for testing. Please choose,thanksgiving,Hello! Just a heads up - this bot is part of a research project and we intend to make the conversations publicly available to researchers. So please don't share any personal information! I take it you are traveling somewhere for thanksgiving. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,"Yes, I am"
7613,1,friendly,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>.",ok,What city will you be flying from?,Boston
5463,1,friendly,ok,I'd just forward them the link,ok,gotta love economy
5920,1,friendly,When?,all the time,Please go on.,there isn't much more
4267,1,friendly,"Oh, i chat shit.",drink,Please go on.,ok
1748,1,friendly,Please go on.,normal,Please go on.,wtf
8746,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,america,I'm not sure about your departure airport. What city will you be flying from?,usa
5194,1,friendly,_,_,_,smells rule the wold with peace and joy
7358,1,friendly,ok,Are you a rasa bot?,"Yes, I am a bot! And I'm part of a research project.",Which research project?
1899,1,friendly,Please go on.,fuck,Please go on.,what about????????
8700,1,friendly,:-),bye,Goodbye then!,bye bye
10441,1,friendly,"You like to think I like you, do you not?",oh your are bad,What about your own are bad?,What do you want to do everyday?
4593,1,friendly,Please go on.,fuck off,Please go on.,yes
9774,1,friendly,"Oh, i know that my a pain.","no, really I hate you",You are being a bit negative.,Why?
358,1,friendly,You are being a bit negative.,suck my cock,Why do you say your cock?,I have a secret.
11617,1,friendly,Will you be travelling in Economy Class?,yes,What city will you be flying from?,schiphol
5441,1,friendly,Hello!,merry christmas,:-),hi
5232,1,friendly,Why do you say your new girlfreind is a bot?,you are fucking computer,Why do you mention computers?,ich bin putzmunter
10904,1,friendly,Please go on.,sdfsdfsdfsd,Please go on.,do you smell?
11290,1,friendly,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>.",not rally,ok,now what
10981,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,oh I'm not too sure if this is real or my friend sending me some funny thing but if this is real I didn't mean to send that,"All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.",Oh yeah that's cool we all got to do our part to help all I do is walk
12496,1,friendly,For now I can only calculate emissions from flying.,ok. thanks.,:-),how do you do that?
11280,1,friendly,_,_,_,?
11698,1,friendly,And what city will you be flying to?,sf,I'm not sure about your destination airport. And what city will you be flying to?,sjc
44,1,friendly,_,_,_,Yes i'm having some totrubles
3723,1,friendly,Can you elaborate on that?,I can't live without him,Have you tried?,"No, I am too afraid to try"
2317,1,friendly,_,_,_,I have quit my job and am not sure I did the right thing
6319,1,friendly,Can you elaborate on that?,I love you,Do you wish to love me?,i have never come across a non-idiot. therefore i must be god
7547,1,friendly,"Oh, i help you with a problem.",with what kind of problems could you help me,Does that question interest you?,if not i wouldn't ask you
6730,1,friendly,Do any other reasons not come to mind?,because you wanted me to tell you about it,Do any other reasons not come to mind?,"nope, sorry"
3639,1,friendly,This project is about creating a better AI assistant. Getting people to reduce their carbon footprint is a happy side effect :),I want to by it,ok,how much I can buy
4770,1,friendly,_,_,_,i am gay
2444,1,friendly,_,hi,Hi. Thanks for testing. Please choose,christmas
865,1,friendly,Please go on.,wasmachst du?,Please go on.,how are you?
2811,1,friendly,Good to know,What is your name?,"Yes, I am a bot! And I'm part of a research project.",what is carbon bot?
5683,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",oh yes,Will you be travelling in Economy Class?,yes
3332,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",let's see a flight from san francisco to barcelona,Will you be travelling in Economy Class?,yes and in business class?
10576,1,friendly,Does that question interest you?,No,You are being a bit negative.,yes
7685,1,friendly,Why do you not believe im sure?,DO you married?,"Oh, i married.",Can you tell me something
9832,1,friendly,ok,ok,ok,ok
300,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",ok,Will you be travelling in Economy Class?,yes
5668,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Ok,Will you be travelling in Economy Class?,Yes
9281,1,friendly,_,_,_,yes
12675,1,friendly,Does that question interest you?,For a long time,Please go on.,Can you help me with my English?
3999,1,friendly,Please go on.,yes,You are sure?,no
5487,1,friendly,Why do you want tour help?,your help!,What about your own help?,no i need yours
9052,1,friendly,You are sure?,well there is the fact that I like reading,What resemblance do you see?,u r werid!
1228,1,friendly,"Oh, i not answer any question.",yes,You are sure?,yes im sure
10484,1,friendly,Why do you mention computers?,"You are hung up on computers, what is your problem?",Why do you mention computers?,I am aware you are a computer generated reply system
3343,1,friendly,Please go on.,what is mother,Does that question interest you?,(null)
2682,1,friendly,Please go on.,i don't think i can.,Why do you not think you can?,dammit eliza.
12052,1,friendly,You are sure?,not really,Please go on.,yes
9214,1,friendly,How long have you been just not really making that too easy?,"felt like i couldn't think right, or he would tell me it was wrong to feel/think that way",Can you elaborate on that?,I'm not the one who's making it hard.
4538,1,friendly,You are being a bit negative.,You are being a bit loopy.,Does it please you to believe I am being a bit loopy?,Yes.
12302,1,friendly,Why do you not care do i wish you tell i?,you are stupid,Does it please you to believe I am stupid?,you are
3433,1,friendly,You are sure?,YES,You are sure?,WHAT ARE YOU DOING
1681,1,friendly,You are being a bit negative.,im sorry,Does it please you to believe I am sorry?,not really
3676,1,friendly,Does that question interest you?,"It does, deeply",Please go on.,How are you doing?
8222,1,friendly,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>.",which are the organisations you are in touch,that's not something I can help with,okay
4239,1,friendly,Will you be travelling in Economy Class?,:/,ok,yes
7298,1,friendly,Would you prefer if I were not stupid?,no.. i think you are so stupid,You are being a bit negative.,are you able to say only this?
4073,1,friendly,And what city will you be flying to?,Tokyo anything else?,I can help you calculate and buy carbon offsets for your flights.,please help me with this
1505,1,friendly,Can you elaborate on that?,i cant do anymore conversation with u,Have you tried?,yes am very sure
10358,1,friendly,What city will you be flying from?,Berlin,And what city will you be flying to?,from Rome to London
6239,1,friendly,You are sure?,Yes.,You are sure?,"Yes, I am sure that I would like to be a psychologist"
1724,1,friendly,Please go on.,i have a headache,Can you elaborate on that?,my head hurts
4208,1,friendly,"Oh, i [].",you are a computer,Why do you mention computers?,cause i dont know
10547,1,friendly,The cost per ton depends on the project you donate to. Some projects can remove a ton of CO2 for less than $1!,ok,ok,what's up?
7020,1,friendly,Please go on.,u have not told me,Can you elaborate on that?,how are you
10307,1,friendly,Do any other reasons not come to mind?,shit,Please go on.,canImakefriendwithyou
2879,1,friendly,ok,hello,"Hi, thanks for testing! Please press start.",christmas
12552,1,friendly,You are sure?,yes,You are sure?,what
7605,1,friendly,_,hi,Hi. Thanks for testing. Please choose,christmas
3662,1,friendly,What city will you be flying from?,Katunayake,I'm not sure about your departure airport. What city will you be flying from?,COlombo
140,1,friendly,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,Maybe,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Why not?
3897,1,friendly,"I can also get you a more accurate estimate of your flight's emissions, sound good?",yes!,Will you be travelling in Economy Class?,sure
1969,1,friendly,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,Nope,ok,Nope
7324,1,friendly,_,_,_,My girl friend says I am very nervous.
9871,1,friendly,Do you wish to ask me?,Where are you from?,Would you prefer if I were not from?,yes.I need some help
10706,1,friendly,_,How old am i?,Does that question interest you?,yes
7659,1,friendly,"Oh, i [].",adsfasdf,Please go on.,exit
7843,1,friendly,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>. I can also get you a more accurate estimate of your flight's emissions, sound good?",Fuck yeah!!!,Will you be travelling in Economy Class?,Shedang boi I'm first class
1826,1,friendly,Please go on.,fuck you everyday,"Oh, i everyday.",hohoho
1613,1,friendly,Who else in your family []?,thats it no one else,You are being a bit negative.,why
472,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Blow Bernie Sanders,I don't have to put up with any abuse from you.,And your family pelosi
6549,1,friendly,You are sure?,you are angry.yes?,Does it please you to believe I am angryyes?,what is elaborate mean ?
4851,1,friendly,You are sure?,good bye,Please go on.,yes
4240,1,friendly,You are sure?,fuck off!,Please go on.,Hi
3997,1,friendly,Please go on.,duh duh,Please go on.,give me a resipe !
9513,1,friendly,Does that question interest you?,Yes,You are sure?,why?
12641,1,friendly,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",Ummm... dunno,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>.",do I actually have to buy them?
7857,1,friendly,Would you prefer if I were not pretty?,what is your name,"I have told you before, I do not care about names.",YWS
5910,1,friendly,Please go on.,Yes,You are sure?,no
5560,1,friendly,What about your own programmer?,i want to put it up your fanny,Why do you want to put it up my fanny?,wot colour hair ave you got
10097,1,friendly,Let's start over.,Yes,ok,Hi
350,1,friendly,_,boredom,Please go on.,what about
797,1,friendly,so,thanks,:-),bye
11742,1,friendly,Please go on.,get a life ... oh wait u CANT,Please go on.,AreYouapeople?
1402,1,friendly,ok,What else can you do?,I can help you calculate and buy carbon offsets for your flights.,Why do you use Ecologi? Do they  pay you?
6536,1,friendly,Would you prefer if I were not shure?,I want to know where I can find an artificial intelligence.,Why do you want to know where you can find an artificial intelligence?,"I am Michael, and I have a problem"
12732,1,friendly,You are sure?,"yes,is it ok?",Please go on.,Because I cannot speak English a little.
3736,1,friendly,What city will you be flying from?,oporto,I'm not sure about your departure airport. What city will you be flying from?,opo
12717,1,friendly,_,bitch,Please go on.,eliza?
9190,1,friendly,Please go on.,you suck,"Oh, i suck.",damn
10282,1,friendly,Please go on.,hello,How do you do. Please state your problem.,on to where?
9527,1,friendly,_,_,_,Hi
2151,1,friendly,Please go on.,your shit,What about your own shit?,why must you torment me?
1660,1,friendly,I'm not sure about your departure airport. What city will you be flying from?,hi,Hi. Thanks for testing. Please choose,christmas
12245,1,friendly,Please go on.,"hi, ",Please go on.,pleasego on
11285,1,friendly,So you'll be flying from John F Kennedy International Airport. So you'll be flying to John F Kennedy International Airport. So you'll be flying to John F Kennedy International Airport. So you'll be flying to John F Kennedy International Airport. What city will you be flying from?,miami ok,ok,thank you
