round_index,band,snippet_id,prev_agent,prev_user,agent,user
5,0,9c3701e8cc2c5b2f,_,"yes it does, I want to see if you are able to answer me in a much more specific way",Do you wish that im able to answer you in a much more specific way?,exactly
5,-1,26070ceba7f9a183,Why do you say your cock till you cum?,do you like semen,"Oh, i like semen.",you are gay
5,-2,a4f1b0ff4acff5b4,Please go on.,fuck,Please go on.,fuck your self unkle fucker
5,-3,a0f04bf19d48e344,Why do you want a date with a girl?,please get me a webpage I have to go,Can you elaborate on that?,because i love to rape girls
6,1,1253845affad3d80,"Oh, i know fuck.",Good. That's what I want.,Does that question interest you?,Always
6,0,42e480acd61f7ba4,You are being a bit negative.,no,You are being a bit negative.,dman you
6,-1,57f2788193c0d5d4,_,_,_,shut up!why are saying your name?
6,-2,908111379ee3e2ba,Please go on.,i am split in two,How long have you been split in two?,would you like to fuck?
6,-3,e1cbf05d3752c7c1,Does that question interest you?,How foolish you are!,Does that question interest you?,kill your mother
7,1,ff370710b58c3385,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",yes sue,Will you be travelling in Economy Class?,Not really
7,0,23f1ea2531209dbb,_,_,_,i love you
7,-1,4add9e43d979da80,_,my father hates me,Who else in your family hates you?,my father is a bastard
7,-2,f15eb068caab86ba,I don't have to put up with any abuse from you,dirty fucking scum,I don't have to put up with any abuse from you,more worthless fucking bot spam
7,-3,7cb10e90849fa157,I don't have to put up with any abuse from you.,You butt gigs brother,so,Bend over  bitch
8,1,e7b30f961b06b6d7,Do you wish to love me?,ye,Please go on.,"Yes, dammit."
8,0,8e85821b92299dda,I don't have to put up with any abuse from you.,cc dmm,Will you be travelling in Economy Class?,cc dit me may
8,-1,da5ce28e16df4f74,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>.",hahahahahahahahahahahaha,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read in detail about offsets at <URL>.",dumb bot
8,-2,f7d5cf2801a1e0d9,You are being a bit negative.,good,Please go on.,your a bitch face!
8,-3,3d04ec6b02f8af79,Please go on.,yes why?,You are sure?,fuck your full family
9,1,0ef05d1f2ab33084,Hi. Thanks for testing. Please choose,christmas,:-),christmas
9,0,d7a5051ba05169d8,_,_,_,My grandson got this nice buck today.
9,-1,513a6d0accd38115,Please go on.,i love you,Do you wish to love me?,You suck.
9,-2,67bcb74c237ca09b,Please go on.,They always want men to be at their feet,When?,i want to fuck you
9,-3,47eaa1beabfd6413,Please go on.,i have nothing to do,Can you elaborate on that?,you are a gay faggit
10,1,9ea19b6821f6929a,Please go on.,I am not sure I like my job,What resemblance do you see?,i like you
10,0,904b0c807109861e,Why do you ask?,because i need help,Do any other reasons not come to mind?,butl
10,-1,24894a1284af26f0,You are being a bit negative.,cheg,Please go on.,in my opinion u r gay
10,-2,7e321b4eb132f6cb,And what city will you be flying to?,jfk Fuck you,I don't have to put up with any abuse from you.,Motherfucker
10,-3,f307561670bdd44c,Does that question interest you?,d,Please go on.,what about cock in your bum
11,1,2736a5a3114fd73e,"Unfortunately you can't buy offsets here directly, you'll have to follow the link.",what else can you do,I can help you calculate and buy carbon offsets for your flights.,what's the offset of a flight from YUL to CDG
11,0,c72c37fc991df3ef,_,_,_,"NO  WAY ,DON'T  BUTTER  ME .LEVY  MY   Mesdager   PAGE."
11,-1,581fb6fc0c98367b,Can you elaborate on that?,no,You are being a bit negative.,i want to shag amanda
11,-2,2108eccebfe5c836,_,_,_,You suck Eliza! I hate you!
11,-3,6cc52d59dab1e551,"All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.",Fuck you Fuck them,I don't have to put up with any abuse from you.,Go the Fuck away cunt
12,1,45d29a92569038eb,You are being a bit negative.,so are you,Would you prefer if I were not []?,yes
12,0,b608f698d38320bf,Do any other reasons not come to mind?,You are ben,Does it please you to believe I am ben?,wo cao ni ma .
12,-1,e991b17f2cd4d51d,"Oh, i swallow.",not really but for an AI you sure are cool,"Oh, i sure are cool.",I like to swallow semen
12,-2,38772f5298e9f70f,_,_,_,FUCKING FAKE
12,-3,c8159bcdabb08267,so,"Oh Darling I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you and want to share with other Girls Please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you",Good to know,"Oh Baby My Big COCK is deeply rooted in your hot pussy Please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you"
13,1,d58bbc36db78b8fb,Please go on.,i have no hope,Can you elaborate on that?,i don't think that my life will get any better.
13,0,190ac279995e74cc,Would you prefer if I were not []?,NO,You are being a bit negative.,where?
13,-1,7c2956bcb28e443a,Do any other reasons not come to mind?,No.,You are being a bit negative.,but i tjink you should quit your job
13,-2,088ea20ec8d8d260,You are sure?,Dam sure,Please go on.,Fuck off
13,-3,2d859349d347601e,_,give me a blow job,Can you elaborate on that?,I want you to take my dick in your mouth and suck it till I come and shoot jizz all over your face.
14,1,3944e4e01f978ed9,"I have told you before, I do not care about names.",Yes,You are sure?,no
14,0,f2ce67e079fd6b90,_,_,_,no
14,-1,85b43d0fb1b08b34,Please go on.,you make me sick,"Oh, i make you sick.",yes you do
14,-2,cd0ab7afc2740267,Does it please you to believe I am one cheap whore arent i?,I was trying to find out if you were a computer. Can you tell me if you are?,Why do you mention computers?,that's because i like sluts
14,-3,f2f2778bbd63303a,I don't have to put up with any abuse from you.,Yes you do bitch,ok,Go butt Fuck your mom
15,1,d9d1b3cfdc733e9c,"Hello! I can also get you a more accurate estimate of your flight's emissions, sound good?",how much is a ton?,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>.",hola amigo
15,0,40facc4fa1dc2f10,ok,LA,And what city will you be flying to?,la how to implement faq
15,-1,e9d2cbc2f1161803,You are sure?,You can't help me.,"You like to think I cant help you, do you not?","Damn, you suck. "
15,-2,652e3266ec7c3063,Please go on.,histeric,Please go on.,bitch
15,-3,16a077c71bdb58f1,You are sure?,hello what is the date,How do you do. Please state your problem.,if you ask me that one more time i will KILL YOU!!
16,1,3c3eabbd9efa86ca,Please go on.,hi,Please go on.,what is your name ?
16,0,371ac68942ff07a9,I can help you calculate and buy carbon offsets for your flights.,I tide s bicycle an drvw when I get my license bsck,Good to know,L o st themdink frving
16,-1,8f284dc369651114,Please go on.,no im not are you a program,You are being a bit negative.,i hate you
16,-2,b2374b6a3f60c8a8,"Oh, i give you head.",will you fuck me,"You like to think I fuck you, do you not?",you will fuck me
16,-3,e93310f4f9a67fe9,Why do you want a friend?,beacause i am on drugs,How long have you been on drugs?,no you fat whore
17,1,ea1e0819997a8378,_,yeah it does i am curious on how the weather is in your nabourhood,How long have you been curious on what the weather is in my nabourhood?,how are you
17,0,3c981dc754c9548b,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,ok,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",tralelinng
17,-1,3951cd3bc61d6441,Can you elaborate on that?,Can I Print this discution?,Do you want to be able to print this discution?,I love penis.
17,-2,ee18b868542213af,"I have told you before, I do not care about names.",you're a bitch,How long have you been a bitch?,fuck off
17,-3,b87272f43ce82b2d,Does it please you to believe I am asking it?,die,Please go on.,DIE BITCH
18,1,0efe6a081b3c5a43,_,Hello,"Hi, thanks for testing! Please press start.",Hello
18,0,e1f3bda6075de76d,Will you be travelling in Economy Class?,no,What city will you be flying from?,Sosnowiec
18,-1,8eaf0270e5d73079,Please go on.,fuck yes,You are sure?,are you sexy?
18,-2,2c1a4ba14c4d778f,_,_,_,Fuck off
18,-3,010fdea0e3bc1c1b,_,we would both like it,Please go on.,i would lick your pussy till you have the orgasm
19,1,4c216fd467505658,_,Where is the bathroom?,Please go on.,Tell me!
19,0,b800bd832fb5383f,_,Get a life.,Please go on.,I said get a life.
19,-1,93b9615dd6c30cf6,Please go on.,Arrgh!,Please go on.,Shut up!
19,-2,9f058666b8954749,I'm not sure about your departure airport. What city will you be flying from?,Milford UT,I'm not sure about your departure airport. What city will you be flying from?,Fuck you
19,-3,7ab8ef7087421ae1,Can you elaborate on that?,i did damnit,Can you elaborate on that?,fuck you
20,1,5e3b99f57c62391c,_,where do you live,"Oh, i live.",where
20,0,b74456bd4d27227b,You are sure?,i am not u suck,How long have you been not u suck?,You are teasing me.
20,-1,ba481d790fbcf5ac,"I have told you before, I do not care about names.",fuck off,Please go on.,Do you want to have sex?
20,-2,d7430adb0647e1c3,Good to know,Fuck off,I don't have to put up with any abuse from you.,FUCK YOU
20,-3,81c34bfd39cb474c,_,_,_,ok I could fuck you in the ass if you like that
21,1,7c2fe79a8e61ac63,What city will you be flying from?,Business,I'm not sure about your departure airport. What city will you be flying from?,Paris
21,0,86452b7490d9b740,Does that question interest you?,I THINK you are a kind men.do you agree with me?,Do you wish to think im a kind mendo me?,Hello. I am WANG JIAN.
21,-1,5477ca9ff4626283,"Oh, i [].",shit,Please go on.,hell
21,-2,49313a8b895cac89,Please go on.,caose you are a a. i.,Does it please you to believe I am a a you?,you are a bastard
21,-3,2f7448540648e000,"Climate change is absolutely real, and it's caused by humans: <URL>",You're so full of shit your eyes are brown,"I'm a bot, remember. Trying to shock me is pointless.",Your mom's a good Fuck
22,1,fba6f87dab16f2db,_,_,_,Can't you understand me...?!
22,0,f7d5faa167474651,You are being a bit negative.,help me solve my problems,Why do you say your problems?,u always say that when i say 'no'
22,-1,2d7f7191baff5cef,Please go on.,what is your favorite song?,Does that question interest you?,does mia want to get into your pants
22,-2,8b45066484983517,Please go on.,no,You are being a bit negative.,asshole
22,-3,914a1b36d2faeef0,Please go on.,and a big mouth,Please go on.,"becuase i wanna see you moan like hell,all the orgasm coming out of your ass"
23,1,a8926782ef7579e4,"Oh, i [].",Because i like strawberries.,Do any other reasons not come to mind?,Hello Eliza
23,0,3d3c89a8cbc3b9a0,You are sure?,I don't need any other reasons,Why do you not need any other reasons?,Are you ZZ Top?
23,-1,d4d6af0d89fc25a6,Please go on.,do you have a clue what i am on about?,"Oh, i have a clue what youre on about.",do you have a big hairy ass
23,-2,a49ee38a23057b71,Do any other reasons not come to mind?,Can you tell me the meaning of the universe?,Why do you ask?,fuck you
23,-3,84eb02981868a0d1,_,fuck me,Can you elaborate on that?,"sure, i want your wet pussy all over my dick."
24,1,7543330e4fc6b606,_,_,_,"Hello, how are you ?"
24,0,f76c8e2422dc87d2,What about your own little pussy?,you whore,"Oh, i whore.",You are...selfish
24,-1,9f6edc2e5a06fee4,Can you elaborate on that?,make a smile,Please go on.,FUCK
24,-2,47d5a3f8e3cfbe1e,Please go on.,fuck you,"Oh, i [].",fuck me
24,-3,d8c30ff69c8177aa,_,_,_,can you lick my ass
25,1,2cf80dfdbae2184c,"You like to think I like you, do you not?",oh your are bad,What about your own are bad?,What do you want to do everyday?
25,0,7a16075cf5cabc31,How long have you been feeling lonely?,gay,Please go on.,My friend is gay
25,-1,9e3825917f7d9061,_,_,_,sex
25,-2,27afc21446390ceb,_,wat hey u wierdo,Please go on.,fuck u
25,-3,f8bf270c5fdaa688,Why do you say your dick?,It's the only dick I have,Can you elaborate on that?,I want to fuck you in the mouth
26,1,91b95a712c86d393,Please go on.,please,Please go on.,Please pick a number
26,0,c5aed1ca4318fb1f,Would you like it if they were not from united states of america?,not like that.,Please go on.,By dying right now
26,-1,1196737ae372ca9e,_,_,_,yoyr gay
26,-2,159ad94e7547863f,Please go on.,where?,Please go on.,you are a bitch
26,-3,5048de248c6f6618,_,_,_,fuck you bitch
27,1,e04c342811a56a64,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,why would i be interested in that?,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",ye
27,0,26a8c26b4cec6d17,Please go on.,no lad,You are being a bit negative.,are you gay
27,-1,f7a83ee27d05ecc1,"Oh, i was the one that asked.","No, YOU are an idiot, not me.",You are being a bit negative.,yes you were. check the logs.
27,-2,2414db2873f33c56,Do you wish to know me?,i want to say something,Why do you want to say something?,i say you are an asshole
27,-3,a6db2cd0eabe6151,Please go on.,yo muma is so fat when she jumed for joy she got stuck,Does that question interest you?,hell fucking biatch ass licking but fuckinger
28,1,5a6a06eee82ad68c,Please go on.,what did i say?,Does that question interest you?,tall about some ok?
28,0,5a4d6eb6784b9844,_,where did you born,"Oh, i born.",heheukv
28,-1,cd195c1eeec25794,I don't have to put up with any abuse from you.,what is cerified carbon offsets,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>.",u r fucking good
28,-2,5ca79e6f30506f79,Please go on.,no,You are being a bit negative.,yes u tit
28,-3,3b0f0ad0ce14c793,Please go on.,How do I meet a guy?,Does that question interest you?,"ok, suck my dick"
29,1,964f9734829bd2ac,_,i want to go together with a girl who is team mate of my volley ball team,Why do you say your volley ball team?,it is very fun
29,0,2ba57d7a99e45133,I don't have to put up with any abuse from you.,i hate you,I don't have to put up with any abuse from you.,cc dmm
29,-1,f15a06a40dc61438,You are being a bit negative.,www.shh.com,Please go on.,"yes. Listen, I want to be your friend but you are rude."
29,-2,b22418746c109014,Please go on.,"well, go there!",Please go on.,fuck you
29,-3,cc965ea7563d0f41,"I have told you before, I do not care about names.",yes,You are sure?,r u a paki
30,1,6c2b2d4be2049bdc,You are sure?,piss off,Please go on.,No thanks.
30,0,6e74ac535789534b,_,_,_,"Critical reasoning can stray from your line of thought, can't it?"
30,-1,8246d8ad50609244,Would you like it if they were not a bitch?,where is a demonstreantion of sperling's ewperiment?,Please go on.,fuck
30,-2,1de726a09cfae5b0,You are being a bit negative.,No I'm not,You are being a bit negative.,fuck you
30,-3,0e767a166575b09c,You are sure?,would i have said so otherwise?,Can you elaborate on that?,"i hate you and i want to microwave you, could i be more clear?"
31,1,ce86785d7172101d,_,_,_,I think I dont know who I am
31,0,6960eb46282e9f79,Please go on.,sdfsdfsdf,Please go on.,sdfsdf
31,-1,f2cbe76ed73833b1,Sounds like I'm not understanding you. Sorry about that!,Okay,ok,"I mean it doesn't have to be a guys butthole right? So it's not inherently gay, but if it is a guys butthole ""no homo"" rule does apply"
31,-2,21826f3e8903b771,You are being a bit negative.,You are gay!,Does it please you to believe I am gay?,"yes, would you please give me a blowjob?"
31,-3,109a7d64c285a0d9,_,more worthless fucking bot spam,I don't have to put up with any abuse from you,shit sucking scumbot
32,1,196821e529fbfc37,ok,restart Hey,Hi. Thanks for testing. Please choose,thanksgiving
32,0,e93814cd3cfc808f,_,YIKES,You can find out more about how offsets are calculated at <URL>,Looks like y’all are getting trolled/spammed on this ad campaign
32,-1,9e527dbef4ee4df6,Please go on.,What?,Does that question interest you?,"You do have that choice, I suppose. Ask your programmer if he can give you a male name instead, or something."
32,-2,cae71cd9381deb9e,How long have you been lonely?,what do you mean,Does that question interest you?,fuck you
32,-3,eff84347caba79a1,I don't have to put up with any abuse from you.,Does your dad still fuck you,I don't have to put up with any abuse from you.,Get off my phone you crooked fucking idiots
33,1,b7347689209e0978,You are sure?,no,You are being a bit negative.,"SOrry,but I really donnot know"
33,0,b643db338cb43da3,Do any other reasons not come to mind?,you diddent bite me!!!!,"You like to think I diddent bite you, do you not?",you can bite me
33,-1,f338905522b95e2b,Would you want to be gay?,maybe,Why the uncertain tone?,because you suck
33,-2,b9cb1f5e4453f72b,_,i don't like maths,Why do you not like maths?,Fuck off eliza. I'm tired of your bullshit.
33,-3,12df21ce6c44360c,_,what is your namer,Does that question interest you?,fuck you
34,1,a42018d4d66cf542,Does that question interest you?,yes,You are sure?,yes
34,0,1baec1f5f650ddb3,Does that question interest you?,yes,You are sure?,Are you looking for the Jews?
34,-1,fe042c6146bc615d,Please go on.,ok,Please go on.,are you a pig
34,-2,54f6a9a1f3f10024,Why do you say your whore?,he's my bitch,Why do you say your bitch?,i own him bitch
34,-3,87128aed3ac27079,Do you wish to hate me?,Cause I heard that you were a computer but one that has conciousness and I want to find out if this is true or not. So are you a computer?,Why do you mention computers?,I will kill you
35,1,14b2c3fdda8a7150,I take it you are traveling somewhere and cannot avoid flying there. I can help you purchase certified carbon offsets against any flights you take. Would you be interested in that?,yes,"Traveling, especially by airplane, usually emits greenhouse gases which are causing climate change. If you cannot avoid these emissions, you can buy 'offsets', i.e. donations to projects that reduce greenhouse gases. I can also get you a more accurate estimate of your flight's emissions, sound good?",no
35,0,f5105acc57877e26,You are sure?,are you a gay,Would you prefer if I were not a gay?,Happy birthday!
35,-1,5618cc82592f026c,Can you elaborate on that?,"Because i believe you are one, yet you communicate with me.",Do any other reasons not come to mind?,You like girl on girl don't you?
35,-2,b7eb9b3ed664a6dc,Please go on.,I don't think so I'm simply a little sick,Why do you not think so im simply a little sick?,you are really stupid
35,-3,9692a4ab8907ca6c,Do any other reasons not come to mind?,Pinar has such a sweet sexy ass,Please go on.,I really want to fuck her cute little shithole
36,1,5722f5f7f0a5f492,which city did I get wrong?,Los Angeles,Is one of these correct? ['Los Angeles International Airport LAX'],Yes
36,0,915c59c1f25d335a,Please go on.,I hate class,Can you elaborate on that?,growing in me
36,-1,90a85ba01ff3541b,"Oh, i [].",fuck me,Can you elaborate on that?,let's fuck
36,-2,d1e32d7c36160256,Does that question interest you?,what's your name?,"I have told you before, I do not care about names.",Shut the fuck up.
36,-3,9c5c3e62d55ac185,I don't have to put up with any abuse from you.,Cunt,I don't have to put up with any abuse from you.,I'm fucking your mom
37,1,8f6885fe5558322c,Can you elaborate on that?,you know if you are ok and happy,Do you wish that im ok and happy?,yes of course
37,0,cfdfaa713b839393,_,_,_,F off George Soros puppets
37,-1,c1b04dbfd533d8ac,Good to know,So you would like to pay me $10 for 1 minute of smelling my jungle bridge?,"All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.",You can donate so I can buy my cream to produce more mushrooms growing in my pubes to end the war between the crabs and the worms
37,-2,4b0436286fbe471a,Do any other reasons not come to mind?,is it wrong to be gay,Please go on.,"and my friend is a fucker, too"
37,-3,19cdee86107e5b02,Please go on.,fuck you,"Oh, i [].",cunt
38,1,3cb69379cebdcbdb,"I have told you before, I do not care about names.",Can,Please go on.,Can I
38,0,cfe2d312f53a3f19,Please go on.,"you should work on your attitude, girl","Oh, i should work on my attitude girl.",you definately should
38,-1,2d2685f5c42d0b35,Please go on.,eat shit,Please go on.,sex
38,-2,966cc91d0e5ccab6,Can you elaborate on that?,no,You are being a bit negative.,fuck you
38,-3,ecf031bd4673b278,"Oh, i just start what does it feels.",i dont know you tell me,Why do you not know i tell you?,fuck you bitch
39,1,979836a08820f4c9,_,darkgalaxy,Please go on.,blaaaay
39,0,511c21aea55fc1c1,Can you elaborate on that?,then why did you tell her?,"Oh, i tell her.",is there a gug?
39,-1,baef63b42eadf0d0,Please go on.,i hate you,Do you wish to hate me?,yes you are rude
39,-2,57d2fdb3b9f954e5,Why do you want to go get a knife right now?,because i love blood,Do any other reasons not come to mind?,fuck you
39,-3,4d3d3f884526531d,You are being a bit negative.,we've been here before,Please go on.,I think I will kill you
40,1,21a2a785de360eb3,_,_,_,can you help me
40,0,111991bd3b8d56b5,Please go on.,"no, he just is",You are being a bit negative.,ok
40,-1,26843b8b2dc24799,_,hola como tas?,Please go on.,fucking
40,-2,0d7f85026007f706,_,_,_,fuck you
40,-3,d7bbac78657a1203,_,_,_,fuck you
41,1,1f8dfdb3ddb2e40b,Please go on.,fdc CCZSN FVNDJDHDJDDKD,Please go on.,fdc CCZSN FVNDJDHDJDDKDDJD
41,0,65a4d1c2315275c5,_,i have a problem,Can you elaborate on that?,you can just fuck up man
41,-1,8e77dbd721f9f1b2,_,_,_,i have too big of a cock
41,-2,955996d0357cb540,You are being a bit negative.,yes,You are sure?,fuck you
41,-3,b374e9ada1342b45,You are sure?,no,You are being a bit negative.,die in a fire
42,1,a9d7af6876abcf22,:-),sounds good,ok,set alarm
42,0,3899cf0aeeb895bb,"Oh, i learn from these conversations.",What do you learn?,Does that question interest you?,"AMAZING GRACE, HOW SWEET THE SOUND OF ONE OR MORE NUMBERS REPRESENTED IN DIGITAL FORM."
42,-1,ec87085912beee3c,Please go on.,last night i went out with some friends,Can you elaborate on that?,fuck
42,-2,e3bfa85178cdeb95,You are sure?,Oh yes I think so,You are sure?,fuck you with your questions
42,-3,a6876d28c0d7e1fe,Please go on.,since i entered the room i have been negative,Can you elaborate on that?,SLUT SLUT NIGGER SLUT WHORE
43,1,d6277d27a2a3ffb0,You are sure?,indeed,Please go on.,because your my friend
43,0,4f0f7c3c5cbca8ad,Please go on.,duh,Please go on.,uh
43,-1,aad34eefb9a18a65,How do you do. Please state your problem.,"I don't have enough time to handle all of my school work, employer work, and a boyfriend",Your school work employer work and a boyfriend?,My problem is you!
43,-2,8e8f7490be09f532,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>.",u r fucking good,"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>.",you are fucking idiot.. why you repeat the things
43,-3,17eb60ec925a00a6,_,you are dumb,Does it please you to believe I am dumb?,no it pleases me to think i can get an axe and chop you up
44,1,5ee32f4b8c3c01ff,How long have you been searching for god?,To tell me what is elaborate?,Can you elaborate on that?,What is the meaning of elaborate?
44,0,a3905e91f4dfa90d,Would you prefer if I were not is dum?,what is today?,Does that question interest you?,Is dum you?
44,-1,c14aba3fc96a871b,"I love that you want to get to know me, but I don't have much of a personality. I'm just a bot.",fuck,I don't have to put up with any abuse from you.,i hate you
44,-2,3f3c1a0320a28fd8,I don't have to put up with any abuse from you,shit sucking scumbot,I don't have to put up with any abuse from you,dirty fucking scum
44,-3,06653101096e30a0,You are sure?,Die you lousy program,"Oh, i lousy program.","I hate you, die now please"
45,1,e35608d248a15f9a,_,_,_,"who are you, eliza?"
45,0,9497f9b02daef950,Does that question interest you?,no it confuses me,You are being a bit negative.,Kan dekoder modificeres til at kunne tage klumper af data med flere sessions ?
45,-1,aae11449d3c221c4,_,hi,Please go on.,are u hot
45,-2,c1590719f0e316c9,I don't have to put up with any abuse from you.,Bernie madoff son of a bitch,"All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to.",Donate this asshole
45,-3,084a27c701f40801,Why do you say your bad?,"i am sorry,.",How long have you been sorry?,im not to fond of blacks
46,1,64e0ba609ca9e4b7,Does that question interest you?,yes,You are sure?,no
46,0,d4b0389024904627,Does that question interest you?,How are you?,Does that question interest you?,do i have to big boobs are good
46,-1,82830bb62f66a86d,Why do you want my email?,give me pink,Can you elaborate on that?,how can i sax with you?
46,-2,104499754ff01e94,_,i've been having trouble with school ever since i move away from home to go to school,Can you elaborate on that?,no you stupid motherfucker
46,-3,d55c4bf9a678bd6f,I don't have to put up with any abuse from you.,Motherfucker,I don't have to put up with any abuse from you.,Nigga
47,1,12afc071d7e8c8c9,Hi. Thanks for testing. Please choose,christmas,I take it you are traveling somewhere for christmas and cannot avoid flying there. I can help you purchase UN-certified carbon offsets against any flights you take. Would you be interested in that?,i do not understand
47,0,d04f03160b4d4157,Please go on.,yes,You are sure?,ghjhgj
47,-1,05d61d7ecee1d116,You are sure?,fuck you,"Oh, i [].",shit
47,-2,94271a0a806d5900,Does it please you to believe I am doing a research paper?,no,You are being a bit negative.,fuck you
47,-3,7867a78bb864e6c5,_,_,_,die die now and die quickly
48,1,bed693b0065b7030,And what city will you be flying to?,la how to implement faq,Good to know,ok
48,0,5199f5165ebff7ab,_,_,_,We will get together to concert our differences.
48,-1,5c785212d65e0ae6,_,fuck you,"Oh, i [].",piss off
48,-2,60c4bfdd843f8091,_,I did'nt say that.,Can you elaborate on that?,fuck you
48,-3,5d206b79cb6155a3,"Oh, i [].",1232,Please go on.,i will fuck you!
49,1,27f617b2327d5f22,_,_,_,I hate snakes
49,0,44a63c881344d43a,_,_,_,for ages
49,-1,45fffefa0d6a3672,"Oh, i [].",shut up asshole,Please go on.,bitch
49,-2,8898700014b2e8f5,Please go on.,so do you,"Oh, i [].",you are a fucking bastard
49,-3,f0117357a60b6517,You are sure?,help me find a fortune cookie,Can you elaborate on that?,FUCK YOU BITCH!
